cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.1.1.1_1,Amajyaruguru,Burera,Bungwe,Bungwe
RWA.1.1.1.2_1,Amajyaruguru,Burera,Bungwe,Bushenya
RWA.1.1.1.3_1,Amajyaruguru,Burera,Bungwe,Mudugari
RWA.1.1.1.4_1,Amajyaruguru,Burera,Bungwe,Tumba
RWA.1.1.2.1_1,Amajyaruguru,Burera,Butaro,Gatsibo
RWA.1.1.2.2_1,Amajyaruguru,Burera,Butaro,Mubuga
RWA.1.1.2.3_1,Amajyaruguru,Burera,Butaro,Muhotora
RWA.1.1.2.4_1,Amajyaruguru,Burera,Butaro,Nyamicucu
RWA.1.1.2.5_1,Amajyaruguru,Burera,Butaro,Rusumo
RWA.1.1.3.1_1,Amajyaruguru,Burera,Cyanika,Gasiza
RWA.1.1.3.2_1,Amajyaruguru,Burera,Cyanika,Gisovu
RWA.1.1.3.3_1,Amajyaruguru,Burera,Cyanika,Kabyiniro
RWA.1.1.3.4_1,Amajyaruguru,Burera,Cyanika,Kagitega
RWA.1.1.3.5_1,Amajyaruguru,Burera,Cyanika,Kamanyana
RWA.1.1.3.6_1,Amajyaruguru,Burera,Cyanika,Nyagahinga
RWA.1.1.4.1_1,Amajyaruguru,Burera,Cyeru,Butare
RWA.1.1.4.2_1,Amajyaruguru,Burera,Cyeru,Ndongozi
RWA.1.1.4.3_1,Amajyaruguru,Burera,Cyeru,Ruyange
RWA.1.1.5.1_1,Amajyaruguru,Burera,Gahunga,Buramba
RWA.1.1.5.2_1,Amajyaruguru,Burera,Gahunga,Gisizi
RWA.1.1.5.3_1,Amajyaruguru,Burera,Gahunga,Kidakama
RWA.1.1.5.4_1,Amajyaruguru,Burera,Gahunga,Nyangwe
RWA.1.1.5.5_1,Amajyaruguru,Burera,Gahunga,Rwasa
RWA.1.1.6.1_1,Amajyaruguru,Burera,Gatebe,Gabiro
RWA.1.1.6.2_1,Amajyaruguru,Burera,Gatebe,Musenda
RWA.1.1.6.3_1,Amajyaruguru,Burera,Gatebe,Rwambogo
RWA.1.1.6.4_1,Amajyaruguru,Burera,Gatebe,Rwasa
RWA.1.1.7.1_1,Amajyaruguru,Burera,Gitovu,Mariba
RWA.1.1.7.2_1,Amajyaruguru,Burera,Gitovu,Musasa
RWA.1.1.7.3_1,Amajyaruguru,Burera,Gitovu,Runoga
RWA.1.1.8.1_1,Amajyaruguru,Burera,Kagogo,Kabaya
RWA.1.1.8.2_1,Amajyaruguru,Burera,Kagogo,Kayenzi
RWA.1.1.8.3_1,Amajyaruguru,Burera,Kagogo,Kiringa
RWA.1.1.8.4_1,Amajyaruguru,Burera,Kagogo,Nyamabuye
RWA.1.1.9.1_1,Amajyaruguru,Burera,Kinoni,Gafuka
RWA.1.1.9.2_1,Amajyaruguru,Burera,Kinoni,Nkenke
RWA.1.1.9.3_1,Amajyaruguru,Burera,Kinoni,Nkumba
RWA.1.1.9.4_1,Amajyaruguru,Burera,Kinoni,Ntaruka
RWA.1.1.10.1_1,Amajyaruguru,Burera,Kinyababa,Bugamba
RWA.1.1.10.2_1,Amajyaruguru,Burera,Kinyababa,Kaganda
RWA.1.1.10.3_1,Amajyaruguru,Burera,Kinyababa,Musasa
RWA.1.1.10.4_1,Amajyaruguru,Burera,Kinyababa,Rutovu
RWA.1.1.11.1_1,Amajyaruguru,Burera,Kivuye,Bukwashuri
RWA.1.1.11.2_1,Amajyaruguru,Burera,Kivuye,Gashanje
RWA.1.1.11.3_1,Amajyaruguru,Burera,Kivuye,Murwa
RWA.1.1.11.4_1,Amajyaruguru,Burera,Kivuye,Nyirataba
RWA.1.1.12.1_1,Amajyaruguru,Burera,Nemba,Kivumu
RWA.1.1.12.2_1,Amajyaruguru,Burera,Nemba,Nyamugari
RWA.1.1.12.3_1,Amajyaruguru,Burera,Nemba,Rubona
RWA.1.1.12.4_1,Amajyaruguru,Burera,Nemba,Rushara
RWA.1.1.13.1_1,Amajyaruguru,Burera,Rugarama,Cyahi
RWA.1.1.13.2_1,Amajyaruguru,Burera,Rugarama,Gafumba
RWA.1.1.13.3_1,Amajyaruguru,Burera,Rugarama,Karangara
RWA.1.1.13.4_1,Amajyaruguru,Burera,Rugarama,Rurembo
RWA.1.1.14.1_1,Amajyaruguru,Burera,Rugengabari,Kilibata
RWA.1.1.14.2_1,Amajyaruguru,Burera,Rugengabari,Mucaca
RWA.1.1.14.3_1,Amajyaruguru,Burera,Rugengabari,Nyanamo
RWA.1.1.14.4_1,Amajyaruguru,Burera,Rugengabari,Rukandabyuma
RWA.1.1.15.1_1,Amajyaruguru,Burera,Ruhunde,Gaseke
RWA.1.1.15.2_1,Amajyaruguru,Burera,Ruhunde,Gatare
RWA.1.1.15.3_1,Amajyaruguru,Burera,Ruhunde,Gitovu
RWA.1.1.15.4_1,Amajyaruguru,Burera,Ruhunde,Rusekera
RWA.1.1.16.1_1,Amajyaruguru,Burera,Rusarabuye,Kabona
RWA.1.1.16.2_1,Amajyaruguru,Burera,Rusarabuye,Ndago
RWA.1.1.16.3_1,Amajyaruguru,Burera,Rusarabuye,Ruhanga
RWA.1.1.17.1_1,Amajyaruguru,Burera,Rwerere,Gacundura
RWA.1.1.17.2_1,Amajyaruguru,Burera,Rwerere,Gashoro
RWA.1.1.17.3_1,Amajyaruguru,Burera,Rwerere,Ruconsho
RWA.1.1.17.4_1,Amajyaruguru,Burera,Rwerere,Rugari
RWA.1.2.1.1_1,Amajyaruguru,Gakenke,Busengo,Birambo
RWA.1.2.1.2_1,Amajyaruguru,Gakenke,Busengo,Butereri
RWA.1.2.1.3_1,Amajyaruguru,Gakenke,Busengo,Byibuhiro
RWA.1.2.1.4_1,Amajyaruguru,Gakenke,Busengo,Kamina
RWA.1.2.1.5_1,Amajyaruguru,Gakenke,Busengo,Kirabo
RWA.1.2.1.6_1,Amajyaruguru,Gakenke,Busengo,Mwumba
RWA.1.2.1.7_1,Amajyaruguru,Gakenke,Busengo,Ruhanga
RWA.1.2.2.1_1,Amajyaruguru,Gakenke,Coko,Kiruku
RWA.1.2.2.2_1,Amajyaruguru,Gakenke,Coko,Mbirima
RWA.1.2.2.3_1,Amajyaruguru,Gakenke,Coko,Nyange
RWA.1.2.2.4_1,Amajyaruguru,Gakenke,Coko,Nyanza
RWA.1.2.3.1_1,Amajyaruguru,Gakenke,Cyabingo,Muhaza
RWA.1.2.3.2_1,Amajyaruguru,Gakenke,Cyabingo,Muhororo
RWA.1.2.3.3_1,Amajyaruguru,Gakenke,Cyabingo,Muramba
RWA.1.2.3.4_1,Amajyaruguru,Gakenke,Cyabingo,Mutanda
RWA.1.2.3.5_1,Amajyaruguru,Gakenke,Cyabingo,Rukore
RWA.1.2.4.1_1,Amajyaruguru,Gakenke,Gakenke,Buheta
RWA.1.2.4.2_1,Amajyaruguru,Gakenke,Gakenke,Kagoma
RWA.1.2.4.3_1,Amajyaruguru,Gakenke,Gakenke,Nganzo
RWA.1.2.4.4_1,Amajyaruguru,Gakenke,Gakenke,Rusagara
RWA.1.2.5.1_1,Amajyaruguru,Gakenke,Gashenyi,Nyacyina
RWA.1.2.5.2_1,Amajyaruguru,Gakenke,Gashenyi,Rukura
RWA.1.2.5.3_1,Amajyaruguru,Gakenke,Gashenyi,Rutabo
RWA.1.2.5.4_1,Amajyaruguru,Gakenke,Gashenyi,Rutenderi
RWA.1.2.5.5_1,Amajyaruguru,Gakenke,Gashenyi,Taba
RWA.1.2.6.1_1,Amajyaruguru,Gakenke,Janja,Gakindo
RWA.1.2.6.2_1,Amajyaruguru,Gakenke,Janja,Gashyamba
RWA.1.2.6.3_1,Amajyaruguru,Gakenke,Janja,Gatwa
RWA.1.2.6.4_1,Amajyaruguru,Gakenke,Janja,Karukungu
RWA.1.2.7.1_1,Amajyaruguru,Gakenke,Kamubuga,Kamubuga
RWA.1.2.7.2_1,Amajyaruguru,Gakenke,Kamubuga,Kidomo
RWA.1.2.7.3_1,Amajyaruguru,Gakenke,Kamubuga,Mbatabata
RWA.1.2.7.4_1,Amajyaruguru,Gakenke,Kamubuga,Rukore
RWA.1.2.8.1_1,Amajyaruguru,Gakenke,Karambo,Kanyanza
RWA.1.2.8.2_1,Amajyaruguru,Gakenke,Karambo,Karambo
RWA.1.2.8.3_1,Amajyaruguru,Gakenke,Karambo,Kirebe
RWA.1.2.9.1_1,Amajyaruguru,Gakenke,Kivuruga,Cyintare
RWA.1.2.9.2_1,Amajyaruguru,Gakenke,Kivuruga,Gasiza
RWA.1.2.9.3_1,Amajyaruguru,Gakenke,Kivuruga,Rugimbu
RWA.1.2.9.4_1,Amajyaruguru,Gakenke,Kivuruga,Ruhinga
RWA.1.2.9.5_1,Amajyaruguru,Gakenke,Kivuruga,Sereri
RWA.1.2.10.1_1,Amajyaruguru,Gakenke,Mataba,Buyange
RWA.1.2.10.2_1,Amajyaruguru,Gakenke,Mataba,Gikombe
RWA.1.2.10.3_1,Amajyaruguru,Gakenke,Mataba,Nyundo
RWA.1.2.11.1_1,Amajyaruguru,Gakenke,Minazi,Gasiho
RWA.1.2.11.2_1,Amajyaruguru,Gakenke,Minazi,Munyana
RWA.1.2.11.3_1,Amajyaruguru,Gakenke,Minazi,Murambi
RWA.1.2.11.4_1,Amajyaruguru,Gakenke,Minazi,Raba
RWA.1.2.12.1_1,Amajyaruguru,Gakenke,Mugunga,Gahinga
RWA.1.2.12.2_1,Amajyaruguru,Gakenke,Mugunga,Munyana
RWA.1.2.12.3_1,Amajyaruguru,Gakenke,Mugunga,Mutego
RWA.1.2.12.4_1,Amajyaruguru,Gakenke,Mugunga,Nkomane
RWA.1.2.12.5_1,Amajyaruguru,Gakenke,Mugunga,Rutabo
RWA.1.2.12.6_1,Amajyaruguru,Gakenke,Mugunga,Rutenderi
RWA.1.2.12.7_1,Amajyaruguru,Gakenke,Mugunga,Rwamambe
RWA.1.2.13.1_1,Amajyaruguru,Gakenke,Muhondo,Busake
RWA.1.2.13.2_1,Amajyaruguru,Gakenke,Muhondo,Bwenda
RWA.1.2.13.3_1,Amajyaruguru,Gakenke,Muhondo,Gasiza
RWA.1.2.13.4_1,Amajyaruguru,Gakenke,Muhondo,Gihinga
RWA.1.2.13.5_1,Amajyaruguru,Gakenke,Muhondo,Huro
RWA.1.2.13.6_1,Amajyaruguru,Gakenke,Muhondo,Musagara
RWA.1.2.13.7_1,Amajyaruguru,Gakenke,Muhondo,Musenyi
RWA.1.2.13.8_1,Amajyaruguru,Gakenke,Muhondo,Ruganda
RWA.1.2.13.9_1,Amajyaruguru,Gakenke,Muhondo,Rwinkuba
RWA.1.2.14.1_1,Amajyaruguru,Gakenke,Muyongwe,Bumba
RWA.1.2.14.2_1,Amajyaruguru,Gakenke,Muyongwe,Gisiza
RWA.1.2.14.3_1,Amajyaruguru,Gakenke,Muyongwe,Karyango
RWA.1.2.14.4_1,Amajyaruguru,Gakenke,Muyongwe,Nganzo
RWA.1.2.14.5_1,Amajyaruguru,Gakenke,Muyongwe,Va
RWA.1.2.15.1_1,Amajyaruguru,Gakenke,Muzo,Kabatezi
RWA.1.2.15.2_1,Amajyaruguru,Gakenke,Muzo,Kiryamo
RWA.1.2.15.3_1,Amajyaruguru,Gakenke,Muzo,Mubuga
RWA.1.2.15.4_1,Amajyaruguru,Gakenke,Muzo,Mwiyando
RWA.1.2.15.5_1,Amajyaruguru,Gakenke,Muzo,Rwa
RWA.1.2.16.1_1,Amajyaruguru,Gakenke,Nemba,Buranga
RWA.1.2.16.2_1,Amajyaruguru,Gakenke,Nemba,Gahinga
RWA.1.2.16.3_1,Amajyaruguru,Gakenke,Nemba,Gisozi
RWA.1.2.16.4_1,Amajyaruguru,Gakenke,Nemba,Mucaca
RWA.1.2.17.1_1,Amajyaruguru,Gakenke,Ruli,Busoro
RWA.1.2.17.2_1,Amajyaruguru,Gakenke,Ruli,Gikingo
RWA.1.2.17.3_1,Amajyaruguru,Gakenke,Ruli,Jango
RWA.1.2.17.4_1,Amajyaruguru,Gakenke,Ruli,Ruli
RWA.1.2.17.5_1,Amajyaruguru,Gakenke,Ruli,Rwesero
RWA.1.2.18.1_1,Amajyaruguru,Gakenke,Rusasa,Gataba
RWA.1.2.18.2_1,Amajyaruguru,Gakenke,Rusasa,Kamonyi
RWA.1.2.18.3_1,Amajyaruguru,Gakenke,Rusasa,Murambi
RWA.1.2.18.4_1,Amajyaruguru,Gakenke,Rusasa,Nyundo
RWA.1.2.18.5_1,Amajyaruguru,Gakenke,Rusasa,Rumbi
RWA.1.2.18.6_1,Amajyaruguru,Gakenke,Rusasa,Rurembo
RWA.1.2.19.1_1,Amajyaruguru,Gakenke,Rushashi,Burimba
