cell_id,elderly_60,general_pop,children_under5,youth_15_24,men_2020,women_2020,building_count
RWA.1.1.1.1_1,241,3855,495,758,1850,2004,1435
RWA.1.1.1.2_1,229,3669,470,720,1761,1907,884
RWA.1.1.1.3_1,109,1756,225,345,843,913,530
RWA.1.1.1.4_1,318,5174,666,1016,2482,2691,1512
RWA.1.1.2.1_1,335,6046,833,1264,2880,3166,2036
RWA.1.1.2.2_1,252,4546,627,950,2166,2380,1245
RWA.1.1.2.3_1,242,4378,604,915,2084,2293,1028
RWA.1.1.2.4_1,394,7223,1014,1509,3432,3790,2164
RWA.1.1.2.5_1,505,9103,1255,1904,4339,4763,2600
RWA.1.1.3.1_1,314,5558,802,1204,2701,2857,1275
RWA.1.1.3.2_1,362,6454,939,1388,3135,3319,1521
RWA.1.1.3.3_1,421,7512,1101,1627,3652,3860,1535
RWA.1.1.3.4_1,449,8033,1180,1731,3903,4129,1794
RWA.1.1.3.5_1,471,8409,1234,1818,4087,4321,1878
RWA.1.1.3.6_1,539,9610,1409,2081,4672,4938,2179
RWA.1.1.4.1_1,178,3002,404,656,1418,1584,1304
RWA.1.1.4.2_1,191,3324,447,719,1562,1761,1201
RWA.1.1.4.3_1,115,2268,309,508,1085,1182,928
RWA.1.1.5.1_1,489,8624,1195,1811,4117,4507,1308
RWA.1.1.5.2_1,347,6182,862,1301,2947,3234,1022
RWA.1.1.5.3_1,577,10277,1433,2163,4899,5377,2124
RWA.1.1.5.4_1,474,8374,1165,1755,3996,4378,1288
RWA.1.1.5.5_1,133,2407,294,532,1152,1254,1368
RWA.1.1.6.1_1,207,3870,494,766,1835,2034,1335
RWA.1.1.6.2_1,265,4942,627,979,2350,2592,1188
RWA.1.1.6.3_1,155,2906,371,575,1378,1528,819
RWA.1.1.6.4_1,154,2888,368,571,1369,1518,993
RWA.1.1.7.1_1,67,1327,181,297,635,691,506
RWA.1.1.7.2_1,99,1958,267,438,937,1021,837
RWA.1.1.7.3_1,138,2684,377,588,1269,1414,740
RWA.1.1.8.1_1,132,2462,370,501,1189,1272,446
RWA.1.1.8.2_1,306,5672,854,1154,2743,2929,1431
RWA.1.1.8.3_1,271,5027,757,1022,2430,2596,942
RWA.1.1.8.4_1,403,7439,1114,1519,3598,3840,1633
RWA.1.1.9.1_1,183,3341,396,747,1601,1739,1206
RWA.1.1.9.2_1,86,1546,187,344,743,803,541
RWA.1.1.9.3_1,184,3351,400,748,1606,1745,1467
RWA.1.1.9.4_1,167,3045,361,681,1459,1585,1309
RWA.1.1.10.1_1,293,5162,658,1078,2424,2737,1278
RWA.1.1.10.2_1,259,4567,582,954,2145,2422,933
RWA.1.1.10.3_1,187,3289,418,686,1544,1744,712
RWA.1.1.10.4_1,396,6971,890,1456,3275,3696,1694
RWA.1.1.11.1_1,141,2659,371,556,1251,1408,1006
RWA.1.1.11.2_1,188,3687,543,769,1731,1955,976
RWA.1.1.11.3_1,245,4585,639,959,2157,2428,1092
RWA.1.1.11.4_1,179,3348,464,698,1576,1772,1537
RWA.1.1.12.1_1,164,3078,406,644,1422,1655,1227
RWA.1.1.12.2_1,318,6014,811,1261,2785,3229,1630
RWA.1.1.12.3_1,270,5043,676,1061,2338,2704,1244
RWA.1.1.12.4_1,256,4856,656,1017,2249,2607,1035
RWA.1.1.13.1_1,375,6387,836,1385,3096,3290,1501
RWA.1.1.13.2_1,438,7510,977,1632,3638,3872,1763
RWA.1.1.13.3_1,397,6809,889,1477,3296,3513,1885
RWA.1.1.13.4_1,260,4445,581,964,2154,2290,792
RWA.1.1.14.1_1,311,6057,886,1290,2824,3232,693
RWA.1.1.14.2_1,368,7200,1057,1528,3360,3840,786
RWA.1.1.14.3_1,181,3141,431,680,1482,1659,1121
RWA.1.1.14.4_1,440,8552,1250,1822,3988,4563,1070
RWA.1.1.15.1_1,218,4305,570,909,2004,2301,1171
RWA.1.1.15.2_1,194,3826,507,808,1781,2045,1000
RWA.1.1.15.3_1,223,4376,579,926,2036,2340,1316
RWA.1.1.15.4_1,186,3675,487,777,1709,1965,1285
RWA.1.1.16.1_1,464,8469,1116,1805,4129,4339,1778
RWA.1.1.16.2_1,437,7950,1049,1698,3869,4080,1703
RWA.1.1.16.3_1,353,6461,853,1382,3147,3314,1287
RWA.1.1.17.1_1,257,4857,669,1130,2292,2564,1435
RWA.1.1.17.2_1,247,4674,644,1088,2206,2468,1188
